commissioner;category;persons;date;year;month;day;met_with;subject;link
Ferreira_cabinet;cabinet;Wioletta Dunin-Majewska, Francisco Barros Castro;20.04.2023;2023.0;4.0;20.0;industriAll European Trade Union;Methane Directive and consequences of emissions’ limits for the closures or PL mines and the carrying out of JTF territorial plans.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=358284014848-82
Breton;commissioner;;05.04.2023;2023.0;4.0;5.0;Imerys SA;will follow;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=175286523869-61
Breton_cabinet;cabinet;Joan Canton;05.04.2023;2023.0;4.0;5.0;Imerys SA;will follow;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=175286523869-61
Breton_cabinet;cabinet;Joan Canton;05.04.2023;2023.0;4.0;5.0;The LEGO Group;Preparatory meeting for meeting between CEO of LEGO and Commissioner Breton: chips act, metaverse, revision of the Toys Safety Directive;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=236869539281-13
Breton_cabinet;cabinet;Eleonora Ocello;04.04.2023;2023.0;4.0;4.0;ZDF Europabüro Brüssel;Media policy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=3209361971-85
Breton_cabinet;cabinet;Joan Canton;04.04.2023;2023.0;4.0;4.0;RENAULT;Euro 7;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=946343776-69
Breton_cabinet;cabinet;Eleonora Ocello;03.04.2023;2023.0;4.0;3.0;Stichting ter Exploitatie van Naburige Rechten;Copyright policy;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=999063349472-27
Wojciechowski;commissioner;;17.04.2023;2023.0;4.0;17.0;Stowarzyszenie Otwarte Klatki;"Abandoning cage farming of farm animals; Labelling; Broiler chickens in the welfare law review; Concentration of industrial farms and protests of rural inhabitants against the change of agriculture into industry; Transformation of the food system";https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=088067349647-55
Gabriel;commissioner;;04.04.2023;2023.0;4.0;4.0;Commissariat à l'Energie atomique et aux énergies alternatives;Recherche, Innovation et Formation;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=52774696782-43
McGuiness_cabinet;cabinet;Florian Denis;03.04.2023;2023.0;4.0;3.0;Utilitas OÜ, Skandinaviska Enskilda Banken AB (publ), Ragn Sells AS, EESTI TÖÖANDJATE KESKLIIT MTÜ, Eesti Maaülikool (Estonian University of Life Sciences), Eesti Kaubandus-Tööstuskoda;corporate sustainability reporting;
